,Id,S.No,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score
0,0.0,0.0,0.000307013,0.28001765,0.014912838,3.55e-07,0.015730263,0.000307013,0.000332779,0.114304208,0.003316757,0.0011736379999999999
1,0.0006249438771340562,8.019889325527307e-05,0.006049321,0.430535338,0.058823354,5.43e-05,0.102299884,0.006049321,0.00625756,0.0,0.004975115,0.016554716
2,0.0010164166319419571,0.00012029833988290961,0.004654898,0.452992774,0.028997348,0.000136296,0.062928203,0.004654898,0.004808138,0.013967367,0.003316757,0.0008452979999999996
3,0.021300254558185665,0.00016039778651054615,9.42e-05,0.585014199,0.019883832,0.000221137,0.059378787,9.42e-05,0.000107115,0.067164275,0.000829365,0.0003129699999999997
4,0.9489232985817184,0.00024059667976581922,0.003725088,0.006232691,0.03313985,2.11e-41,0.003717583,0.003725088,0.003700882,0.107217785,0.022388059,0.042197927
5,0.9492315329286097,0.00028069612639345574,0.005450207,0.005891498,0.013255833,2.64e-41,0.002902895,0.005450207,0.005668668,0.0,0.005804315,0.007977591
6,0.9694162919256727,0.00036089501964872884,0.003374216,0.074483717,0.026511831,9.89e-22,0.013722653,0.003374216,0.003466192,0.084293102,0.007462693,0.0010618629999999997
7,0.9390423446392951,0.000521292806159275,0.00032865,0.00126962,0.046395848,1.63e-44,0.000702313,0.00032865,0.000270194,0.0,0.044776118,0.033734464
8,0.959018553588887,0.0005613922527869115,0.01473667,0.035886471,0.078707372,1.25e-26,0.004124388,0.01473667,0.015392361,0.0,0.07379767,0.080523828
9,0.9592246821554006,0.0006014916994145481,0.010570771,0.055492904,0.096105893,2.11e-25,0.017043878,0.010570771,0.010860134,0.011145303,0.07379767,0.127124642
10,0.968603178799127,0.0006415911460421846,0.005397577,0.067937332,0.062965856,5.85e-23,0.024780184,0.005397577,0.00532566,0.174683669,0.03233831,0.113750134
11,0.949534722523506,0.0007217900392974577,0.000345609,0.01218838,0.011598828,4.15e-40,0.004314784,0.000345609,0.000335787,0.0,0.00165873,0.009380787
